sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
18.03.2010 00:00;41,112;
18.03.2010 00:10;41,112;
18.03.2010 00:20;41,112;
18.03.2010 00:30;41,112;
18.03.2010 00:40;41,112;
18.03.2010 00:50;41,112;
18.03.2010 01:00;41,112;
18.03.2010 01:10;41,112;
18.03.2010 01:20;41,112;
18.03.2010 01:30;41,112;
18.03.2010 01:40;41,112;
18.03.2010 01:50;41,112;
18.03.2010 02:00;41,112;
18.03.2010 02:10;41,112;
18.03.2010 02:20;41,112;
18.03.2010 02:30;41,112;
18.03.2010 02:40;41,112;
18.03.2010 02:50;41,112;
18.03.2010 03:00;41,112;
18.03.2010 03:10;41,112;
18.03.2010 03:20;41,112;
18.03.2010 03:30;41,112;
18.03.2010 03:40;41,112;
18.03.2010 03:50;41,112;
18.03.2010 04:00;41,112;
18.03.2010 04:10;41,112;
18.03.2010 04:20;41,112;
18.03.2010 04:30;41,112;
18.03.2010 04:40;41,112;
18.03.2010 04:50;41,112;
18.03.2010 05:00;41,112;
18.03.2010 05:10;41,112;
18.03.2010 05:20;41,112;
18.03.2010 05:30;41,112;
18.03.2010 05:40;41,112;
18.03.2010 05:50;41,112;
18.03.2010 06:00;41,112;
18.03.2010 06:10;41,112;
18.03.2010 06:20;41,112;
18.03.2010 06:30;41,112;15,479
18.03.2010 06:40;41,115;15,479
18.03.2010 06:50;41,126;15,479
18.03.2010 07:00;41,148;15,480
18.03.2010 07:10;41,185;15,492
18.03.2010 07:20;41,243;15,511
18.03.2010 07:30;41,323;15,539
18.03.2010 07:40;41,447;15,583
18.03.2010 07:50;41,570;15,628
18.03.2010 08:00;41,741;15,692
18.03.2010 08:10;41,912;15,758
18.03.2010 08:20;42,103;15,829
18.03.2010 08:30;42,350;15,920
18.03.2010 08:40;42,670;16,037
18.03.2010 08:50;43,043;16,178
18.03.2010 09:00;43,460;16,337
18.03.2010 09:10;43,881;16,498
18.03.2010 09:20;44,335;16,674
18.03.2010 09:30;44,839;16,866
18.03.2010 09:40;45,375;17,073
18.03.2010 09:50;45,934;17,289
18.03.2010 10:00;46,513;17,511
18.03.2010 10:10;47,112;17,742
18.03.2010 10:20;47,729;17,983
18.03.2010 10:30;48,370;18,231
18.03.2010 10:40;49,024;18,484
18.03.2010 10:50;49,689;18,740
18.03.2010 11:00;50,374;19,005
18.03.2010 11:10;51,071;19,275
18.03.2010 11:20;51,778;19,548
18.03.2010 11:30;52,489;19,824
18.03.2010 11:40;53,192;20,103
18.03.2010 11:50;53,853;20,369
18.03.2010 12:00;54,440;20,601
18.03.2010 12:10;55,051;20,832
18.03.2010 12:20;55,543;21,031
18.03.2010 12:30;56,148;21,255
18.03.2010 12:40;56,773;21,498
18.03.2010 12:50;57,367;21,737
18.03.2010 13:00;57,833;21,933
18.03.2010 13:10;58,258;22,093
18.03.2010 13:20;58,724;22,275
18.03.2010 13:30;59,154;22,449
18.03.2010 13:40;59,598;22,615
18.03.2010 13:50;60,069;22,800
18.03.2010 14:00;60,505;22,978
18.03.2010 14:10;60,969;23,148
18.03.2010 14:20;61,526;23,360
18.03.2010 14:30;62,119;23,594
18.03.2010 14:40;62,643;23,793
18.03.2010 14:50;63,123;23,993
18.03.2010 15:00;63,423;24,124
18.03.2010 15:10;63,859;24,280
18.03.2010 15:20;64,317;24,460
18.03.2010 15:30;64,602;24,589
18.03.2010 15:40;64,793;24,666
18.03.2010 15:50;64,991;24,740
18.03.2010 16:00;65,190;24,818
18.03.2010 16:10;65,457;24,922
18.03.2010 16:20;65,603;24,988
18.03.2010 16:30;65,730;25,036
18.03.2010 16:40;65,889;25,094
18.03.2010 16:50;66,073;25,167
18.03.2010 17:00;66,213;25,226
18.03.2010 17:10;66,327;25,270
18.03.2010 17:20;66,411;25,307
18.03.2010 17:30;66,456;25,327
18.03.2010 17:40;66,482;25,338
18.03.2010 17:50;66,496;25,344
18.03.2010 18:00;66,501;25,345
18.03.2010 18:10;66,501;25,345
18.03.2010 18:20;66,501;25,345
18.03.2010 18:30;66,501;
18.03.2010 18:40;66,501;
18.03.2010 18:50;66,501;
18.03.2010 19:00;66,501;
18.03.2010 19:10;66,501;
18.03.2010 19:20;66,501;
18.03.2010 19:30;66,501;
18.03.2010 19:40;66,501;
18.03.2010 19:50;66,501;
18.03.2010 20:00;66,501;
18.03.2010 20:10;66,501;
18.03.2010 20:20;66,501;
18.03.2010 20:30;66,501;
18.03.2010 20:40;66,501;
18.03.2010 20:50;66,501;
18.03.2010 21:00;66,501;
18.03.2010 21:10;66,501;
18.03.2010 21:20;66,501;
18.03.2010 21:30;66,501;
18.03.2010 21:40;66,501;
18.03.2010 21:50;66,501;
18.03.2010 22:00;66,501;
18.03.2010 22:10;66,501;
18.03.2010 22:20;66,501;
18.03.2010 22:30;66,501;
18.03.2010 22:40;66,501;
18.03.2010 22:50;66,501;
18.03.2010 23:00;66,501;
18.03.2010 23:10;66,501;
18.03.2010 23:20;66,501;
18.03.2010 23:30;66,501;
18.03.2010 23:40;66,501;
18.03.2010 23:50;66,501;
