sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
30-03-2010 00:00;243,856;
30-03-2010 00:10;243,856;
30-03-2010 00:20;243,856;
30-03-2010 00:30;243,856;
30-03-2010 00:40;243,856;
30-03-2010 00:50;243,856;
30-03-2010 01:00;243,856;
30-03-2010 01:10;243,856;
30-03-2010 01:20;243,856;
30-03-2010 01:30;243,856;
30-03-2010 01:40;243,856;
30-03-2010 01:50;243,856;
30-03-2010 02:00;243,856;
30-03-2010 02:10;243,856;
30-03-2010 02:20;243,856;
30-03-2010 02:30;243,856;
30-03-2010 02:40;243,856;
30-03-2010 02:50;243,856;
30-03-2010 03:00;243,856;
30-03-2010 03:10;243,856;
30-03-2010 03:20;243,856;
30-03-2010 03:30;243,856;
30-03-2010 03:40;243,856;
30-03-2010 03:50;243,856;
30-03-2010 04:00;243,856;
30-03-2010 04:10;243,856;
30-03-2010 04:20;243,856;
30-03-2010 04:30;243,856;
30-03-2010 04:40;243,856;
30-03-2010 04:50;243,856;
30-03-2010 05:00;243,856;
30-03-2010 05:10;243,856;
30-03-2010 05:20;243,856;
30-03-2010 05:30;243,856;
30-03-2010 05:40;243,856;
30-03-2010 05:50;243,856;
30-03-2010 06:00;243,856;
30-03-2010 06:10;243,856;
30-03-2010 06:20;243,856;
30-03-2010 06:30;243,856;
30-03-2010 06:40;243,856;
30-03-2010 06:50;243,856;
30-03-2010 07:00;243,856;
30-03-2010 07:10;243,856;
30-03-2010 07:20;243,856;93,946
30-03-2010 07:30;243,856;93,946
30-03-2010 07:40;243,859;93,946
30-03-2010 07:50;243,869;93,946
30-03-2010 08:00;243,898;
30-03-2010 08:10;243,943;
30-03-2010 08:20;243,978;93,974
30-03-2010 08:30;244,034;
30-03-2010 08:40;244,091;94,019
30-03-2010 08:50;244,179;94,037
30-03-2010 09:00;244,259;94,084
30-03-2010 09:10;244,359;94,123
30-03-2010 09:20;244,487;94,175
30-03-2010 09:30;244,636;94,235
30-03-2010 09:40;244,807;
30-03-2010 09:50;244,950;94,325
30-03-2010 10:00;245,096;
30-03-2010 10:10;245,166;94,425
30-03-2010 10:20;245,249;94,463
30-03-2010 10:30;245,475;
30-03-2010 10:40;245,824;94,703
30-03-2010 10:50;246,288;94,802
30-03-2010 11:00;246,840;95,109
30-03-2010 11:10;247,380;95,330
30-03-2010 11:20;247,748;
30-03-2010 11:30;247,942;95,517
30-03-2010 11:40;248,164;
30-03-2010 11:50;248,343;95,679
30-03-2010 12:00;248,688;95,815
30-03-2010 12:10;249,035;95,960
30-03-2010 12:20;249,544;96,172
30-03-2010 12:30;250,162;
30-03-2010 12:40;250,884;96,703
30-03-2010 12:50;251,619;96,850
30-03-2010 13:00;252,358;97,283
30-03-2010 13:10;253,098;97,571
30-03-2010 13:20;253,784;97,832
30-03-2010 13:30;254,404;
30-03-2010 13:40;254,834;98,253
30-03-2010 13:50;255,554;98,402
30-03-2010 14:00;256,209;98,790
30-03-2010 14:10;256,858;99,036
30-03-2010 14:20;257,527;
30-03-2010 14:30;258,159;99,554
30-03-2010 14:40;258,792;99,803
30-03-2010 14:50;259,449;100,061
30-03-2010 15:00;259,932;100,252
30-03-2010 15:10;260,575;
30-03-2010 15:20;261,198;100,747
30-03-2010 15:30;261,784;100,975
30-03-2010 15:40;262,334;
30-03-2010 15:50;262,866;101,299
30-03-2010 16:00;263,378;
30-03-2010 16:10;263,836;101,777
30-03-2010 16:20;264,272;101,863
30-03-2010 16:30;264,726;102,128
30-03-2010 16:40;265,045;102,238
30-03-2010 16:50;265,385;
30-03-2010 17:00;265,612;102,451
30-03-2010 17:10;265,691;102,480
30-03-2010 17:20;265,761;102,507
30-03-2010 17:30;265,845;
30-03-2010 17:40;266,028;102,619
30-03-2010 17:50;266,195;
30-03-2010 18:00;266,346;102,737
30-03-2010 18:10;266,460;102,775
30-03-2010 18:20;266,512;102,793
30-03-2010 18:30;266,546;102,806
30-03-2010 18:40;266,570;102,814
30-03-2010 18:50;266,586;102,819
30-03-2010 19:00;266,593;102,819
30-03-2010 19:10;266,597;102,819
30-03-2010 19:20;266,598;102,819
30-03-2010 19:30;266,598;102,819
30-03-2010 19:40;266,598;
30-03-2010 19:50;266,598;
30-03-2010 20:00;266,598;
30-03-2010 20:10;266,598;
30-03-2010 20:20;266,598;
30-03-2010 20:30;266,598;
30-03-2010 20:40;266,598;
30-03-2010 20:50;266,598;
30-03-2010 21:00;266,598;
30-03-2010 21:10;266,598;
30-03-2010 21:20;266,598;
30-03-2010 21:30;266,598;
30-03-2010 21:40;266,598;
30-03-2010 21:50;266,598;
30-03-2010 22:00;266,598;
30-03-2010 22:10;266,598;
30-03-2010 22:20;266,598;
30-03-2010 22:30;266,598;
30-03-2010 22:40;266,598;
30-03-2010 22:50;266,598;
30-03-2010 23:00;266,598;
30-03-2010 23:10;266,598;
30-03-2010 23:20;266,598;
30-03-2010 23:30;266,598;
30-03-2010 23:40;266,598;
30-03-2010 23:50;266,598;
