sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD.MM.YYYY HH:mm;kWh;kWh
17.03.2010 00:00;29,680;
17.03.2010 00:10;29,680;
17.03.2010 00:20;29,680;
17.03.2010 00:30;29,680;
17.03.2010 00:40;29,680;
17.03.2010 00:50;29,680;
17.03.2010 01:00;29,680;
17.03.2010 01:10;29,680;
17.03.2010 01:20;29,680;
17.03.2010 01:30;29,680;
17.03.2010 01:40;29,680;
17.03.2010 01:50;29,680;
17.03.2010 02:00;29,680;
17.03.2010 02:10;29,680;
17.03.2010 02:20;29,680;
17.03.2010 02:30;29,680;
17.03.2010 02:40;29,680;
17.03.2010 02:50;29,680;
17.03.2010 03:00;29,680;
17.03.2010 03:10;29,680;
17.03.2010 03:20;29,680;
17.03.2010 03:30;29,680;
17.03.2010 03:40;29,680;
17.03.2010 03:50;29,680;
17.03.2010 04:00;29,680;
17.03.2010 04:10;29,680;
17.03.2010 04:20;29,680;
17.03.2010 04:30;29,680;
17.03.2010 04:40;29,680;
17.03.2010 04:50;29,680;
17.03.2010 05:00;29,680;
17.03.2010 05:10;29,680;
17.03.2010 05:20;29,680;
17.03.2010 05:30;29,680;
17.03.2010 05:40;29,680;
17.03.2010 05:50;29,680;
17.03.2010 06:00;29,680;
17.03.2010 06:10;29,680;
17.03.2010 06:20;29,680;
17.03.2010 06:30;29,680;
17.03.2010 06:40;29,680;
17.03.2010 06:50;29,680;11,098
17.03.2010 07:00;29,680;11,098
17.03.2010 07:10;29,685;11,098
17.03.2010 07:20;29,699;11,098
17.03.2010 07:30;29,726;11,101
17.03.2010 07:40;29,748;11,109
17.03.2010 07:50;29,793;11,124
17.03.2010 08:00;29,850;11,145
17.03.2010 08:10;29,906;11,167
17.03.2010 08:20;29,957;11,186
17.03.2010 08:30;30,010;11,207
17.03.2010 08:40;30,058;11,224
17.03.2010 08:50;30,124;11,247
17.03.2010 09:00;30,197;11,276
17.03.2010 09:10;30,261;11,300
17.03.2010 09:20;30,322;11,323
17.03.2010 09:30;30,382;11,346
17.03.2010 09:40;30,453;11,370
17.03.2010 09:50;30,570;11,413
17.03.2010 10:00;30,708;11,464
17.03.2010 10:10;30,871;11,525
17.03.2010 10:20;31,010;11,580
17.03.2010 10:30;31,173;11,642
17.03.2010 10:40;31,340;11,695
17.03.2010 10:50;31,499;11,748
17.03.2010 11:00;31,663;11,813
17.03.2010 11:10;31,818;11,872
17.03.2010 11:20;31,976;11,931
17.03.2010 11:30;32,148;11,997
17.03.2010 11:40;32,345;12,071
17.03.2010 11:50;32,589;12,161
17.03.2010 12:00;32,853;12,264
17.03.2010 12:10;33,082;12,354
17.03.2010 12:20;33,297;12,438
17.03.2010 12:30;33,537;12,527
17.03.2010 12:40;33,932;12,670
17.03.2010 12:50;34,281;12,810
17.03.2010 13:00;34,690;12,960
17.03.2010 13:10;35,185;13,149
17.03.2010 13:20;35,725;13,354
17.03.2010 13:30;36,133;13,526
17.03.2010 13:40;36,484;13,674
17.03.2010 13:50;36,861;13,807
17.03.2010 14:00;37,254;13,965
17.03.2010 14:10;37,533;14,084
17.03.2010 14:20;37,793;14,184
17.03.2010 14:30;38,033;14,276
17.03.2010 14:40;38,260;14,361
17.03.2010 14:50;38,473;14,448
17.03.2010 15:00;38,646;14,520
17.03.2010 15:10;38,894;14,609
17.03.2010 15:20;39,127;14,700
17.03.2010 15:30;39,327;14,786
17.03.2010 15:40;39,520;14,849
17.03.2010 15:50;39,749;14,943
17.03.2010 16:00;40,047;15,055
17.03.2010 16:10;40,184;15,121
17.03.2010 16:20;40,322;15,165
17.03.2010 16:30;40,569;15,258
17.03.2010 16:40;40,769;15,341
17.03.2010 16:50;40,922;15,401
17.03.2010 17:00;41,006;15,439
17.03.2010 17:10;41,044;15,457
17.03.2010 17:20;41,068;15,466
17.03.2010 17:30;41,090;15,474
17.03.2010 17:40;41,104;15,479
17.03.2010 17:50;41,110;15,479
17.03.2010 18:00;41,112;15,479
17.03.2010 18:10;41,112;15,479
17.03.2010 18:20;41,112;
17.03.2010 18:30;41,112;
17.03.2010 18:40;41,112;
17.03.2010 18:50;41,112;
17.03.2010 19:00;41,112;
17.03.2010 19:10;41,112;
17.03.2010 19:20;41,112;
17.03.2010 19:30;41,112;
17.03.2010 19:40;41,112;
17.03.2010 19:50;41,112;
17.03.2010 20:00;41,112;
17.03.2010 20:10;41,112;
17.03.2010 20:20;41,112;
17.03.2010 20:30;41,112;
17.03.2010 20:40;41,112;
17.03.2010 20:50;41,112;
17.03.2010 21:00;41,112;
17.03.2010 21:10;41,112;
17.03.2010 21:20;41,112;
17.03.2010 21:30;41,112;
17.03.2010 21:40;41,112;
17.03.2010 21:50;41,112;
17.03.2010 22:00;41,112;
17.03.2010 22:10;41,112;
17.03.2010 22:20;41,112;
17.03.2010 22:30;41,112;
17.03.2010 22:40;41,112;
17.03.2010 22:50;41,112;
17.03.2010 23:00;41,112;
17.03.2010 23:10;41,112;
17.03.2010 23:20;41,112;
17.03.2010 23:30;41,112;
17.03.2010 23:40;41,112;
17.03.2010 23:50;41,112;
