sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
31-03-2010 00:00;266,598;
31-03-2010 00:10;266,598;
31-03-2010 00:20;266,598;
31-03-2010 00:30;266,598;
31-03-2010 00:40;266,598;
31-03-2010 00:50;266,598;
31-03-2010 01:00;266,598;
31-03-2010 01:10;266,598;
31-03-2010 01:20;266,598;
31-03-2010 01:30;266,598;
31-03-2010 01:40;266,598;
31-03-2010 01:50;266,598;
31-03-2010 02:00;266,598;
31-03-2010 02:10;266,598;
31-03-2010 02:20;266,598;
31-03-2010 02:30;266,598;
31-03-2010 02:40;266,598;
31-03-2010 02:50;266,598;
31-03-2010 03:00;266,598;
31-03-2010 03:10;266,598;
31-03-2010 03:20;266,598;
31-03-2010 03:30;266,598;
31-03-2010 03:40;266,598;
31-03-2010 03:50;266,598;
31-03-2010 04:00;266,598;
31-03-2010 04:10;266,598;
31-03-2010 04:20;266,598;
31-03-2010 04:30;266,598;
31-03-2010 04:40;266,598;
31-03-2010 04:50;266,598;
31-03-2010 05:00;266,598;
31-03-2010 05:10;266,598;
31-03-2010 05:20;266,598;
31-03-2010 05:30;266,598;
31-03-2010 05:40;266,598;
31-03-2010 05:50;266,598;
31-03-2010 06:00;266,598;
31-03-2010 06:10;266,598;
31-03-2010 06:20;266,598;
31-03-2010 06:30;266,598;
31-03-2010 06:40;266,598;
31-03-2010 06:50;266,598;
31-03-2010 07:00;266,598;
31-03-2010 07:10;266,598;
31-03-2010 07:20;266,598;
31-03-2010 07:30;266,598;
31-03-2010 07:40;266,598;102,819
31-03-2010 07:50;266,600;102,819
31-03-2010 08:00;266,608;102,819
31-03-2010 08:10;266,624;102,819
31-03-2010 08:20;266,644;102,819
31-03-2010 08:30;266,663;102,819
31-03-2010 08:40;266,695;102,827
31-03-2010 08:50;266,740;102,844
31-03-2010 09:00;266,787;102,862
31-03-2010 09:10;266,843;102,883
31-03-2010 09:20;266,900;102,905
31-03-2010 09:30;266,965;102,929
31-03-2010 09:40;267,041;102,958
31-03-2010 09:50;267,125;102,990
31-03-2010 10:00;267,218;103,025
31-03-2010 10:10;267,344;103,074
31-03-2010 10:20;267,475;103,125
31-03-2010 10:30;267,652;103,193
31-03-2010 10:40;267,882;103,284
31-03-2010 10:50;268,215;103,417
31-03-2010 11:00;268,750;103,628
31-03-2010 11:10;269,297;103,840
31-03-2010 11:20;269,890;104,066
31-03-2010 11:30;270,314;104,226
31-03-2010 11:40;270,714;104,361
31-03-2010 11:50;271,097;104,504
31-03-2010 12:00;271,318;104,588
31-03-2010 12:10;271,564;104,686
31-03-2010 12:20;271,914;104,823
31-03-2010 12:30;272,305;104,973
31-03-2010 12:40;272,633;105,102
31-03-2010 12:50;272,984;105,238
31-03-2010 13:00;273,375;105,388
31-03-2010 13:10;273,617;105,481
31-03-2010 13:20;273,899;105,592
31-03-2010 13:30;274,184;105,703
31-03-2010 13:40;274,480;105,816
31-03-2010 13:50;274,760;105,925
31-03-2010 14:00;275,002;106,018
31-03-2010 14:10;275,240;106,112
31-03-2010 14:20;275,524;106,221
31-03-2010 14:30;275,941;106,387
31-03-2010 14:40;276,421;106,568
31-03-2010 14:50;276,681;106,675
31-03-2010 15:00;277,046;106,812
31-03-2010 15:10;277,518;106,995
31-03-2010 15:20;277,939;107,160
31-03-2010 15:30;278,384;107,331
31-03-2010 15:40;278,856;107,487
31-03-2010 15:50;279,158;107,602
31-03-2010 16:00;279,321;107,664
31-03-2010 16:10;279,492;107,731
31-03-2010 16:20;279,681;107,804
31-03-2010 16:30;279,872;107,878
31-03-2010 16:40;280,079;107,958
31-03-2010 16:50;280,337;108,060
31-03-2010 17:00;280,570;108,149
31-03-2010 17:10;280,762;108,223
31-03-2010 17:20;280,953;108,297
31-03-2010 17:30;281,165;108,379
31-03-2010 17:40;281,385;108,465
31-03-2010 17:50;281,509;108,512
31-03-2010 18:00;281,599;108,547
31-03-2010 18:10;281,676;108,576
31-03-2010 18:20;281,739;108,600
31-03-2010 18:30;281,795;108,621
31-03-2010 18:40;281,857;108,644
31-03-2010 18:50;281,901;108,661
31-03-2010 19:00;281,934;108,673
31-03-2010 19:10;281,958;108,682
31-03-2010 19:20;281,974;108,687
31-03-2010 19:30;281,980;108,687
31-03-2010 19:40;281,981;108,687
31-03-2010 19:50;281,981;
31-03-2010 20:00;281,981;
31-03-2010 20:10;281,981;
31-03-2010 20:20;281,981;
31-03-2010 20:30;281,981;
31-03-2010 20:40;281,981;
31-03-2010 20:50;281,981;
31-03-2010 21:00;281,981;
31-03-2010 21:10;281,981;
31-03-2010 21:20;281,981;
31-03-2010 21:30;281,981;
31-03-2010 21:40;281,981;
31-03-2010 21:50;281,981;
31-03-2010 22:00;281,981;
31-03-2010 22:10;281,981;
31-03-2010 22:20;281,981;
31-03-2010 22:30;281,981;
31-03-2010 22:40;281,981;
31-03-2010 22:50;281,981;
31-03-2010 23:00;281,981;
31-03-2010 23:10;281,981;
31-03-2010 23:20;281,981;
31-03-2010 23:30;281,981;
31-03-2010 23:40;281,981;
31-03-2010 23:50;281,981;
